competition;season;home_score;away_score;round;
Top 14;2012-2013;33;19;Barrages;
Top 14;2012-2013;25;12;Barrages;
Top 14;2012-2013;24;9;Semi;
Top 14;2012-2013;9;25;Semi;
Top 14;2012-2013;14;19;Finale;
Top 14;2013-2014;22;22;J1;
Top 14;2013-2014;18;22;J1;
Top 14;2013-2014;39;11;J1;
Top 14;2013-2014;31;25;J1;
Top 14;2013-2014;19;16;J1;
Top 14;2013-2014;19;14;J1;
Top 14;2013-2014;26;23;J1;
Top 14;2013-2014;41;14;J2;
Top 14;2013-2014;30;19;J2;
Top 14;2013-2014;34;6;J2;
Top 14;2013-2014;19;12;J2;
Top 14;2013-2014;40;3;J2;
Top 14;2013-2014;27;28;J2;
Top 14;2013-2014;25;12;J2;
Top 14;2013-2014;38;3;J3;
Top 14;2013-2014;38;19;J3;
Top 14;2013-2014;21;20;J3;
Top 14;2013-2014;33;24;J3;
Top 14;2013-2014;22;9;J3;
Top 14;2013-2014;31;20;J3;
Top 14;2013-2014;28;26;J3;
Top 14;2013-2014;38;10;J4;
Top 14;2013-2014;55;0;J4;
Top 14;2013-2014;36;13;J4;
Top 14;2013-2014;29;36;J4;
Top 14;2013-2014;62;12;J4;
Top 14;2013-2014;24;22;J4;
Top 14;2013-2014;30;6;J4;
Top 14;2013-2014;25;0;J5;
Top 14;2013-2014;17;10;J5;
Top 14;2013-2014;13;24;J5;
Top 14;2013-2014;19;16;J5;
Top 14;2013-2014;21;14;J5;
Top 14;2013-2014;19;9;J5;
Top 14;2013-2014;23;16;J5;
Top 14;2013-2014;28;16;J6;
Top 14;2013-2014;22;15;J6;
Top 14;2013-2014;35;10;J6;
Top 14;2013-2014;31;7;J6;
Top 14;2013-2014;27;13;J6;
Top 14;2013-2014;25;18;J6;
Top 14;2013-2014;16;19;J6;
Top 14;2013-2014;43;3;J7;
Top 14;2013-2014;26;9;J7;
Top 14;2013-2014;21;27;J7;
Top 14;2013-2014;31;6;J7;
Top 14;2013-2014;18;12;J7;
Top 14;2013-2014;26;19;J7;
Top 14;2013-2014;15;16;J7;
Top 14;2013-2014;18;11;J8;
Top 14;2013-2014;25;22;J8;
Top 14;2013-2014;12;12;J8;
Top 14;2013-2014;19;15;J8;
Top 14;2013-2014;27;19;J8;
Top 14;2013-2014;20;16;J8;
Top 14;2013-2014;40;11;J8;
Top 14;2013-2014;12;16;J9;
Top 14;2013-2014;25;19;J9;
Top 14;2013-2014;20;22;J9;
Top 14;2013-2014;45;20;J9;
Top 14;2013-2014;34;6;J9;
Top 14;2013-2014;34;0;J9;
Top 14;2013-2014;28;10;J9;
Top 14;2013-2014;24;19;J10;
Top 14;2013-2014;13;12;J10;
Top 14;2013-2014;36;29;J10;
Top 14;2013-2014;31;20;J10;
Top 14;2013-2014;23;10;J10;
Top 14;2013-2014;39;0;J10;
Top 14;2013-2014;16;12;J10;
Top 14;2013-2014;37;17;J11;
Top 14;2013-2014;22;22;J11;
Top 14;2013-2014;25;13;J11;
Top 14;2013-2014;9;6;J11;
Top 14;2013-2014;22;9;J11;
Top 14;2013-2014;25;18;J11;
Top 14;2013-2014;13;9;J11;
Top 14;2013-2014;15;9;J12;
Top 14;2013-2014;14;3;J12;
Top 14;2013-2014;16;20;J12;
Top 14;2013-2014;45;23;J12;
Top 14;2013-2014;24;21;J12;
Top 14;2013-2014;9;14;J12;
Top 14;2013-2014;47;14;J12;
Top 14;2013-2014;23;30;J13;
Top 14;2013-2014;23;0;J13;
Top 14;2013-2014;46;16;J13;
Top 14;2013-2014;15;22;J13;
Top 14;2013-2014;26;9;J13;
Top 14;2013-2014;17;12;J13;
Top 14;2013-2014;25;18;J13;
Top 14;2013-2014;21;6;J14;
Top 14;2013-2014;43;10;J14;
Top 14;2013-2014;9;9;J14;
Top 14;2013-2014;37;13;J14;
Top 14;2013-2014;35;6;J14;
Top 14;2013-2014;9;6;J14;
Top 14;2013-2014;18;16;J14;
Top 14;2013-2014;19;12;J15;
Top 14;2013-2014;48;22;J15;
Top 14;2013-2014;20;16;J15;
Top 14;2013-2014;33;19;J15;
Top 14;2013-2014;27;23;J15;
Top 14;2013-2014;21;13;J15;
Top 14;2013-2014;14;3;J15;
Top 14;2013-2014;15;9;J16;
Top 14;2013-2014;21;22;J16;
Top 14;2013-2014;6;18;J16;
Top 14;2013-2014;6;0;J16;
Top 14;2013-2014;20;8;J16;
Top 14;2013-2014;15;9;J16;
Top 14;2013-2014;19;12;J16;
Top 14;2013-2014;32;6;J17;
Top 14;2013-2014;25;5;J17;
Top 14;2013-2014;25;19;J17;
Top 14;2013-2014;28;23;J17;
Top 14;2013-2014;18;9;J17;
Top 14;2013-2014;23;10;J17;
Top 14;2013-2014;22;24;J17;
Top 14;2013-2014;38;17;J18;
Top 14;2013-2014;25;13;J18;
Top 14;2013-2014;9;6;J18;
Top 14;2013-2014;17;16;J18;
Top 14;2013-2014;19;19;J18;
Top 14;2013-2014;33;20;J18;
Top 14;2013-2014;12;15;J18;
Top 14;2013-2014;16;13;J19;
Top 14;2013-2014;19;13;J19;
Top 14;2013-2014;18;8;J19;
Top 14;2013-2014;50;19;J19;
Top 14;2013-2014;6;16;J19;
Top 14;2013-2014;28;12;J19;
Top 14;2013-2014;26;12;J19;
Top 14;2013-2014;42;16;J20;
Top 14;2013-2014;25;9;J20;
Top 14;2013-2014;20;22;J20;
Top 14;2013-2014;29;26;J20;
Top 14;2013-2014;12;6;J20;
Top 14;2013-2014;29;27;J20;
Top 14;2013-2014;9;15;J20;
Top 14;2013-2014;19;10;J21;
Top 14;2013-2014;26;16;J21;
Top 14;2013-2014;25;15;J21;
Top 14;2013-2014;31;6;J21;
Top 14;2013-2014;64;10;J21;
Top 14;2013-2014;37;9;J21;
Top 14;2013-2014;8;11;J21;
Top 14;2013-2014;22;16;J22;
Top 14;2013-2014;27;27;J22;
Top 14;2013-2014;38;6;J22;
Top 14;2013-2014;22;23;J22;
Top 14;2013-2014;8;22;J22;
Top 14;2013-2014;16;10;J22;
Top 14;2013-2014;13;26;J22;
Top 14;2013-2014;26;24;J23;
Top 14;2013-2014;22;32;J23;
Top 14;2013-2014;43;27;J23;
Top 14;2013-2014;40;13;J23;
Top 14;2013-2014;23;5;J23;
Top 14;2013-2014;34;34;J23;
Top 14;2013-2014;32;28;J23;
Top 14;2013-2014;23;11;J24;
Top 14;2013-2014;20;22;J24;
Top 14;2013-2014;37;7;J24;
Top 14;2013-2014;22;12;J24;
Top 14;2013-2014;30;36;J24;
Top 14;2013-2014;24;19;J24;
Top 14;2013-2014;16;9;J24;
Top 14;2013-2014;22;15;J25;
Top 14;2013-2014;19;19;J25;
Top 14;2013-2014;31;46;J25;
Top 14;2013-2014;21;21;J25;
Top 14;2013-2014;19;13;J25;
Top 14;2013-2014;22;6;J25;
Top 14;2013-2014;37;23;J25;
Top 14;2013-2014;38;8;J26;
Top 14;2013-2014;17;15;J26;
Top 14;2013-2014;44;10;J26;
Top 14;2013-2014;25;22;J26;
Top 14;2013-2014;54;20;J26;
Top 14;2013-2014;23;13;J26;
Top 14;2013-2014;19;17;J26;
Top 14;2013-2014;16;21;Barrages;
Top 14;2013-2014;16;22;Barrages;
Top 14;2013-2014;16;6;Semi;
Top 14;2013-2014;19;22;Semi;
Top 14;2013-2014;18;10;Finale;
Top 14;2014-2015;15;29;J1;
Top 14;2014-2015;30;26;J1;
Top 14;2014-2015;18;9;J1;
Top 14;2014-2015;37;15;J1;
Top 14;2014-2015;22;25;J1;
Top 14;2014-2015;20;19;J1;
Top 14;2014-2015;16;19;J1;
Top 14;2014-2015;35;6;J2;
Top 14;2014-2015;6;21;J2;
Top 14;2014-2015;60;19;J2;
Top 14;2014-2015;20;17;J2;
Top 14;2014-2015;30;21;J2;
Top 14;2014-2015;38;12;J2;
Top 14;2014-2015;23;20;J2;
Top 14;2014-2015;20;21;J3;
Top 14;2014-2015;37;25;J3;
Top 14;2014-2015;33;6;J3;
Top 14;2014-2015;24;6;J3;
Top 14;2014-2015;37;23;J3;
Top 14;2014-2015;30;6;J3;
Top 14;2014-2015;17;10;J3;
Top 14;2014-2015;43;10;J4;
Top 14;2014-2015;26;19;J4;
Top 14;2014-2015;32;6;J4;
Top 14;2014-2015;34;29;J4;
Top 14;2014-2015;26;23;J4;
Top 14;2014-2015;30;12;J4;
Top 14;2014-2015;18;13;J4;
Top 14;2014-2015;41;16;J5;
Top 14;2014-2015;9;13;J5;
Top 14;2014-2015;28;11;J5;
Top 14;2014-2015;40;27;J5;
Top 14;2014-2015;23;6;J5;
Top 14;2014-2015;24;28;J5;
Top 14;2014-2015;27;21;J5;
Top 14;2014-2015;13;53;J6;
Top 14;2014-2015;27;16;J6;
Top 14;2014-2015;26;29;J6;
Top 14;2014-2015;24;15;J6;
Top 14;2014-2015;43;12;J6;
Top 14;2014-2015;27;18;J6;
Top 14;2014-2015;23;3;J6;
Top 14;2014-2015;35;19;J7;
Top 14;2014-2015;40;17;J7;
Top 14;2014-2015;34;24;J7;
Top 14;2014-2015;27;25;J7;
Top 14;2014-2015;28;18;J7;
Top 14;2014-2015;43;10;J7;
Top 14;2014-2015;8;19;J7;
Top 14;2014-2015;18;21;J8;
Top 14;2014-2015;51;21;J8;
Top 14;2014-2015;51;10;J8;
Top 14;2014-2015;29;10;J8;
Top 14;2014-2015;10;15;J8;
Top 14;2014-2015;46;32;J8;
Top 14;2014-2015;22;10;J8;
Top 14;2014-2015;26;25;J9;
Top 14;2014-2015;59;7;J9;
Top 14;2014-2015;25;9;J9;
Top 14;2014-2015;24;19;J9;
Top 14;2014-2015;30;10;J9;
Top 14;2014-2015;23;19;J9;
Top 14;2014-2015;21;10;J9;
Top 14;2014-2015;17;41;J10;
Top 14;2014-2015;21;15;J10;
Top 14;2014-2015;21;15;J10;
Top 14;2014-2015;39;22;J10;
Top 14;2014-2015;17;21;J10;
Top 14;2014-2015;24;13;J10;
Top 14;2014-2015;61;28;J10;
Top 14;2014-2015;10;25;J11;
Top 14;2014-2015;22;14;J11;
Top 14;2014-2015;27;10;J11;
Top 14;2014-2015;34;30;J11;
Top 14;2014-2015;51;9;J11;
Top 14;2014-2015;37;9;J11;
Top 14;2014-2015;20;21;J11;
Top 14;2014-2015;27;19;J12;
Top 14;2014-2015;9;14;J12;
Top 14;2014-2015;19;19;J12;
Top 14;2014-2015;23;20;J12;
Top 14;2014-2015;28;23;J12;
Top 14;2014-2015;22;25;J12;
Top 14;2014-2015;20;17;J12;
Top 14;2014-2015;30;43;J13;
Top 14;2014-2015;23;20;J13;
Top 14;2014-2015;19;6;J13;
Top 14;2014-2015;15;12;J13;
Top 14;2014-2015;27;8;J13;
Top 14;2014-2015;30;6;J13;
Top 14;2014-2015;19;10;J13;
Top 14;2014-2015;15;9;J14;
Top 14;2014-2015;12;9;J14;
Top 14;2014-2015;19;15;J14;
Top 14;2014-2015;27;9;J14;
Top 14;2014-2015;46;10;J14;
Top 14;2014-2015;16;13;J14;
Top 14;2014-2015;30;6;J14;
Top 14;2014-2015;12;9;J15;
Top 14;2014-2015;12;9;J15;
Top 14;2014-2015;30;15;J15;
Top 14;2014-2015;33;19;J15;
Top 14;2014-2015;25;9;J15;
Top 14;2014-2015;16;12;J15;
Top 14;2014-2015;24;6;J15;
Top 14;2014-2015;49;13;J16;
Top 14;2014-2015;32;23;J16;
Top 14;2014-2015;29;26;J16;
Top 14;2014-2015;20;13;J16;
Top 14;2014-2015;34;16;J16;
Top 14;2014-2015;23;22;J16;
Top 14;2014-2015;44;20;J16;
Top 14;2014-2015;24;17;J17;
Top 14;2014-2015;34;24;J17;
Top 14;2014-2015;13;15;J17;
Top 14;2014-2015;11;13;J17;
Top 14;2014-2015;16;12;J17;
Top 14;2014-2015;23;0;J17;
Top 14;2014-2015;9;13;J17;
Top 14;2014-2015;19;12;J18;
Top 14;2014-2015;28;23;J18;
Top 14;2014-2015;20;18;J18;
Top 14;2014-2015;23;6;J18;
Top 14;2014-2015;23;13;J18;
Top 14;2014-2015;23;20;J18;
Top 14;2014-2015;13;13;J18;
Top 14;2014-2015;9;3;J19;
Top 14;2014-2015;22;23;J19;
Top 14;2014-2015;15;15;J19;
Top 14;2014-2015;28;16;J19;
Top 14;2014-2015;23;20;J19;
Top 14;2014-2015;34;29;J19;
Top 14;2014-2015;34;11;J19;
Top 14;2014-2015;31;23;J20;
Top 14;2014-2015;18;13;J20;
Top 14;2014-2015;21;19;J20;
Top 14;2014-2015;35;20;J20;
Top 14;2014-2015;21;30;J20;
Top 14;2014-2015;36;12;J20;
Top 14;2014-2015;14;22;J20;
Top 14;2014-2015;6;12;J21;
Top 14;2014-2015;40;26;J21;
Top 14;2014-2015;21;22;J21;
Top 14;2014-2015;45;17;J21;
Top 14;2014-2015;24;3;J21;
Top 14;2014-2015;24;34;J21;
Top 14;2014-2015;12;16;J21;
Top 14;2014-2015;19;19;J22;
Top 14;2014-2015;24;24;J22;
Top 14;2014-2015;10;11;J22;
Top 14;2014-2015;22;20;J22;
Top 14;2014-2015;20;17;J22;
Top 14;2014-2015;24;35;J22;
Top 14;2014-2015;22;20;J22;
Top 14;2014-2015;12;21;J23;
Top 14;2014-2015;32;29;J23;
Top 14;2014-2015;22;37;J23;
Top 14;2014-2015;15;10;J23;
Top 14;2014-2015;42;33;J23;
Top 14;2014-2015;21;16;J23;
Top 14;2014-2015;31;10;J23;
Top 14;2014-2015;37;21;J24;
Top 14;2014-2015;67;19;J24;
Top 14;2014-2015;33;16;J24;
Top 14;2014-2015;16;16;J24;
Top 14;2014-2015;26;23;J24;
Top 14;2014-2015;17;37;J24;
Top 14;2014-2015;19;28;J24;
Top 14;2014-2015;28;10;J25;
Top 14;2014-2015;32;11;J25;
Top 14;2014-2015;32;12;J25;
Top 14;2014-2015;18;18;J25;
Top 14;2014-2015;38;20;J25;
Top 14;2014-2015;35;21;J25;
Top 14;2014-2015;22;19;J25;
Top 14;2014-2015;23;22;J26;
Top 14;2014-2015;46;17;J26;
Top 14;2014-2015;53;10;J26;
Top 14;2014-2015;17;29;J26;
Top 14;2014-2015;29;24;J26;
Top 14;2014-2015;27;0;J26;
Top 14;2014-2015;45;12;J26;
Top 14;2014-2015;38;15;Barrages;
Top 14;2014-2015;20;19;Barrages;
Top 14;2014-2015;16;33;Semi;
Top 14;2014-2015;18;14;Semi;
Top 14;2014-2015;6;12;Finale;
Top 14;2015-2016;22;27;J1;
Top 14;2015-2016;6;44;J1;
Top 14;2015-2016;38;23;J1;
Top 14;2015-2016;35;19;J1;
Top 14;2015-2016;24;7;J1;
Top 14;2015-2016;19;16;J1;
Top 14;2015-2016;34;18;J1;
Top 14;2015-2016;25;6;J2;
Top 14;2015-2016;9;20;J2;
Top 14;2015-2016;20;19;J2;
Top 14;2015-2016;37;19;J2;
Top 14;2015-2016;26;16;J2;
Top 14;2015-2016;22;13;J2;
Top 14;2015-2016;24;9;J2;
Top 14;2015-2016;24;41;J3;
Top 14;2015-2016;30;18;J3;
Top 14;2015-2016;41;15;J3;
Top 14;2015-2016;21;18;J3;
Top 14;2015-2016;37;20;J3;
Top 14;2015-2016;22;24;J3;
Top 14;2015-2016;13;20;J3;
Top 14;2015-2016;35;26;J4;
Top 14;2015-2016;45;24;J4;
Top 14;2015-2016;23;14;J4;
Top 14;2015-2016;44;20;J4;
Top 14;2015-2016;26;26;J4;
Top 14;2015-2016;18;12;J4;
Top 14;2015-2016;9;6;J4;
Top 14;2015-2016;22;9;J5;
Top 14;2015-2016;16;31;J5;
Top 14;2015-2016;19;30;J5;
Top 14;2015-2016;9;18;J5;
Top 14;2015-2016;35;10;J5;
Top 14;2015-2016;39;22;J5;
Top 14;2015-2016;29;26;J5;
Top 14;2015-2016;27;18;J6;
Top 14;2015-2016;23;31;J6;
Top 14;2015-2016;13;18;J6;
Top 14;2015-2016;61;3;J6;
Top 14;2015-2016;12;10;J6;
Top 14;2015-2016;24;19;J6;
Top 14;2015-2016;23;6;J6;
Top 14;2015-2016;17;14;J7;
Top 14;2015-2016;21;16;J7;
Top 14;2015-2016;42;23;J7;
Top 14;2015-2016;28;23;J7;
Top 14;2015-2016;25;33;J7;
Top 14;2015-2016;42;13;J7;
Top 14;2015-2016;33;29;J7;
Top 14;2015-2016;52;8;J8;
Top 14;2015-2016;38;3;J8;
Top 14;2015-2016;33;31;J8;
Top 14;2015-2016;16;3;J8;
Top 14;2015-2016;52;12;J8;
Top 14;2015-2016;34;8;J8;
Top 14;2015-2016;14;9;J8;
Top 14;2015-2016;25;20;J9;
Top 14;2015-2016;28;13;J9;
Top 14;2015-2016;9;34;J9;
Top 14;2015-2016;46;10;J9;
Top 14;2015-2016;18;23;J9;
Top 14;2015-2016;9;35;J9;
Top 14;2015-2016;19;21;J9;
Top 14;2015-2016;15;15;J10;
Top 14;2015-2016;53;23;J10;
Top 14;2015-2016;21;24;J10;
Top 14;2015-2016;33;16;J10;
Top 14;2015-2016;34;19;J10;
Top 14;2015-2016;27;3;J10;
Top 14;2015-2016;21;26;J10;
Top 14;2015-2016;25;12;J11;
Top 14;2015-2016;25;19;J11;
Top 14;2015-2016;23;8;J11;
Top 14;2015-2016;15;11;J11;
Top 14;2015-2016;45;20;J11;
Top 14;2015-2016;16;20;J11;
Top 14;2015-2016;31;8;J11;
Top 14;2015-2016;16;33;J12;
Top 14;2015-2016;42;17;J12;
Top 14;2015-2016;25;21;J12;
Top 14;2015-2016;23;18;J12;
Top 14;2015-2016;19;18;J12;
Top 14;2015-2016;21;17;J12;
Top 14;2015-2016;18;17;J12;
Top 14;2015-2016;15;12;J13;
Top 14;2015-2016;33;20;J13;
Top 14;2015-2016;60;7;J13;
Top 14;2015-2016;30;28;J13;
Top 14;2015-2016;21;16;J13;
Top 14;2015-2016;26;22;J13;
Top 14;2015-2016;32;23;J13;
Top 14;2015-2016;28;6;J14;
Top 14;2015-2016;15;19;J14;
Top 14;2015-2016;19;9;J14;
Top 14;2015-2016;26;3;J14;
Top 14;2015-2016;27;33;J14;
Top 14;2015-2016;54;3;J14;
Top 14;2015-2016;23;16;J14;
Top 14;2015-2016;32;17;J15;
Top 14;2015-2016;17;28;J15;
Top 14;2015-2016;16;19;J15;
Top 14;2015-2016;35;39;J15;
Top 14;2015-2016;24;19;J15;
Top 14;2015-2016;28;8;J15;
Top 14;2015-2016;13;44;J15;
Top 14;2015-2016;44;15;J16;
Top 14;2015-2016;3;15;J16;
Top 14;2015-2016;31;27;J16;
Top 14;2015-2016;44;16;J16;
Top 14;2015-2016;18;33;J16;
Top 14;2015-2016;9;13;J16;
Top 14;2015-2016;29;31;J16;
Top 14;2015-2016;12;45;J17;
Top 14;2015-2016;21;21;J17;
Top 14;2015-2016;38;13;J17;
Top 14;2015-2016;19;12;J17;
Top 14;2015-2016;48;20;J17;
Top 14;2015-2016;22;19;J17;
Top 14;2015-2016;19;14;J17;
Top 14;2015-2016;13;13;J18;
Top 14;2015-2016;16;34;J18;
Top 14;2015-2016;25;6;J18;
Top 14;2015-2016;35;16;J18;
Top 14;2015-2016;50;6;J18;
Top 14;2015-2016;38;8;J18;
Top 14;2015-2016;10;31;J18;
Top 14;2015-2016;20;21;J19;
Top 14;2015-2016;21;45;J19;
Top 14;2015-2016;39;23;J19;
Top 14;2015-2016;23;22;J19;
Top 14;2015-2016;25;6;J19;
Top 14;2015-2016;19;24;J19;
Top 14;2015-2016;36;3;J19;
Top 14;2015-2016;19;3;J20;
Top 14;2015-2016;15;9;J20;
Top 14;2015-2016;21;18;J20;
Top 14;2015-2016;20;27;J20;
Top 14;2015-2016;26;33;J20;
Top 14;2015-2016;20;28;J20;
Top 14;2015-2016;18;19;J20;
Top 14;2015-2016;28;33;J21;
Top 14;2015-2016;9;25;J21;
Top 14;2015-2016;31;13;J21;
Top 14;2015-2016;38;10;J21;
Top 14;2015-2016;22;15;J21;
Top 14;2015-2016;20;26;J21;
Top 14;2015-2016;14;3;J21;
Top 14;2015-2016;10;12;J22;
Top 14;2015-2016;37;19;J22;
Top 14;2015-2016;37;6;J22;
Top 14;2015-2016;17;16;J22;
Top 14;2015-2016;51;10;J22;
Top 14;2015-2016;35;25;J22;
Top 14;2015-2016;26;20;J22;
Top 14;2015-2016;14;20;J23;
Top 14;2015-2016;69;8;J23;
Top 14;2015-2016;10;16;J23;
Top 14;2015-2016;36;10;J23;
Top 14;2015-2016;33;27;J23;
Top 14;2015-2016;52;19;J23;
Top 14;2015-2016;17;7;J23;
Top 14;2015-2016;13;52;J24;
Top 14;2015-2016;43;13;J24;
Top 14;2015-2016;67;20;J24;
Top 14;2015-2016;17;25;J24;
Top 14;2015-2016;45;24;J24;
Top 14;2015-2016;19;16;J24;
Top 14;2015-2016;36;10;J24;
Top 14;2015-2016;14;30;J25;
Top 14;2015-2016;34;7;J25;
Top 14;2015-2016;28;26;J25;
Top 14;2015-2016;29;12;J25;
Top 14;2015-2016;20;25;J25;
Top 14;2015-2016;22;11;J25;
Top 14;2015-2016;36;21;J25;
Top 14;2015-2016;46;10;J26;
Top 14;2015-2016;35;14;J26;
Top 14;2015-2016;40;25;J26;
Top 14;2015-2016;23;19;J26;
Top 14;2015-2016;57;8;J26;
Top 14;2015-2016;44;3;J26;
Top 14;2015-2016;14;53;J26;
Top 14;2015-2016;21;16;Barrages;
Top 14;2015-2016;28;9;Barrages;
Top 14;2015-2016;33;34;Semi;
Top 14;2015-2016;27;18;Semi;
Top 14;2015-2016;21;29;Finale;
Top 14;2016-2017;54;20;J1;
Top 14;2016-2017;15;9;J1;
Top 14;2016-2017;28;11;J1;
Top 14;2016-2017;30;30;J1;
Top 14;2016-2017;15;15;J1;
Top 14;2016-2017;20;12;J1;
Top 14;2016-2017;28;23;J1;
Top 14;2016-2017;18;22;J2;
Top 14;2016-2017;29;16;J2;
Top 14;2016-2017;19;22;J2;
Top 14;2016-2017;28;20;J2;
Top 14;2016-2017;12;12;J2;
Top 14;2016-2017;22;17;J2;
Top 14;2016-2017;22;26;J2;
Top 14;2016-2017;30;30;J3;
Top 14;2016-2017;18;26;J3;
Top 14;2016-2017;32;13;J3;
Top 14;2016-2017;25;9;J3;
Top 14;2016-2017;21;25;J3;
Top 14;2016-2017;15;32;J3;
Top 14;2016-2017;28;14;J3;
Top 14;2016-2017;29;25;J4;
Top 14;2016-2017;40;20;J4;
Top 14;2016-2017;41;13;J4;
Top 14;2016-2017;43;18;J4;
Top 14;2016-2017;47;10;J4;
Top 14;2016-2017;36;23;J4;
Top 14;2016-2017;15;32;J4;
Top 14;2016-2017;25;20;J5;
Top 14;2016-2017;9;21;J5;
Top 14;2016-2017;29;28;J5;
Top 14;2016-2017;23;6;J5;
Top 14;2016-2017;40;16;J5;
Top 14;2016-2017;46;9;J5;
Top 14;2016-2017;41;30;J5;
Top 14;2016-2017;31;23;J6;
Top 14;2016-2017;34;17;J6;
Top 14;2016-2017;38;39;J6;
Top 14;2016-2017;32;10;J6;
Top 14;2016-2017;23;18;J6;
Top 14;2016-2017;42;13;J6;
Top 14;2016-2017;23;21;J6;
Top 14;2016-2017;29;19;J7;
Top 14;2016-2017;31;3;J7;
Top 14;2016-2017;28;30;J7;
Top 14;2016-2017;22;22;J7;
Top 14;2016-2017;25;16;J7;
Top 14;2016-2017;31;26;J7;
Top 14;2016-2017;28;6;J7;
Top 14;2016-2017;29;22;J8;
Top 14;2016-2017;44;16;J8;
Top 14;2016-2017;28;19;J8;
Top 14;2016-2017;27;25;J8;
Top 14;2016-2017;17;17;J8;
Top 14;2016-2017;27;22;J8;
Top 14;2016-2017;29;25;J8;
Top 14;2016-2017;20;24;J9;
Top 14;2016-2017;42;12;J9;
Top 14;2016-2017;12;11;J9;
Top 14;2016-2017;25;19;J9;
Top 14;2016-2017;3;16;J9;
Top 14;2016-2017;33;27;J9;
Top 14;2016-2017;16;40;J9;
Top 14;2016-2017;37;19;J10;
Top 14;2016-2017;16;15;J10;
Top 14;2016-2017;21;20;J10;
Top 14;2016-2017;26;9;J10;
Top 14;2016-2017;21;9;J10;
Top 14;2016-2017;27;6;J10;
Top 14;2016-2017;27;13;J10;
Top 14;2016-2017;26;17;J11;
Top 14;2016-2017;32;13;J11;
Top 14;2016-2017;22;24;J11;
Top 14;2016-2017;25;20;J11;
Top 14;2016-2017;22;14;J11;
Top 14;2016-2017;25;19;J11;
Top 14;2016-2017;31;12;J11;
Top 14;2016-2017;34;17;J12;
Top 14;2016-2017;29;24;J12;
Top 14;2016-2017;16;13;J12;
Top 14;2016-2017;38;25;J12;
Top 14;2016-2017;26;0;J12;
Top 14;2016-2017;21;17;J12;
Top 14;2016-2017;16;13;J12;
Top 14;2016-2017;40;35;J13;
Top 14;2016-2017;51;5;J13;
Top 14;2016-2017;19;23;J13;
Top 14;2016-2017;37;51;J13;
Top 14;2016-2017;23;23;J13;
Top 14;2016-2017;30;12;J13;
Top 14;2016-2017;37;10;J13;
Top 14;2016-2017;26;22;J14;
Top 14;2016-2017;22;6;J14;
Top 14;2016-2017;16;18;J14;
Top 14;2016-2017;46;10;J14;
Top 14;2016-2017;17;42;J14;
Top 14;2016-2017;23;10;J14;
Top 14;2016-2017;33;29;J14;
Top 14;2016-2017;19;16;J15;
Top 14;2016-2017;32;27;J15;
Top 14;2016-2017;12;10;J15;
Top 14;2016-2017;47;18;J15;
Top 14;2016-2017;26;20;J15;
Top 14;2016-2017;40;3;J15;
Top 14;2016-2017;17;11;J15;
Top 14;2016-2017;31;26;J16;
Top 14;2016-2017;23;22;J16;
Top 14;2016-2017;22;8;J16;
Top 14;2016-2017;15;18;J16;
Top 14;2016-2017;30;6;J16;
Top 14;2016-2017;59;20;J16;
Top 14;2016-2017;38;15;J16;
Top 14;2016-2017;20;23;J17;
Top 14;2016-2017;38;25;J17;
Top 14;2016-2017;44;22;J17;
Top 14;2016-2017;10;20;J17;
Top 14;2016-2017;37;25;J17;
Top 14;2016-2017;33;23;J17;
Top 14;2016-2017;23;23;J17;
Top 14;2016-2017;37;18;J18;
Top 14;2016-2017;46;27;J18;
Top 14;2016-2017;39;22;J18;
Top 14;2016-2017;33;25;J18;
Top 14;2016-2017;31;17;J18;
Top 14;2016-2017;17;29;J18;
Top 14;2016-2017;27;18;J18;
Top 14;2016-2017;26;16;J19;
Top 14;2016-2017;25;25;J19;
Top 14;2016-2017;19;10;J19;
Top 14;2016-2017;15;5;J19;
Top 14;2016-2017;16;3;J19;
Top 14;2016-2017;32;9;J19;
Top 14;2016-2017;21;27;J19;
Top 14;2016-2017;46;14;J20;
Top 14;2016-2017;35;33;J20;
Top 14;2016-2017;82;14;J20;
Top 14;2016-2017;21;19;J20;
Top 14;2016-2017;15;38;J20;
Top 14;2016-2017;18;12;J20;
Top 14;2016-2017;19;28;J20;
Top 14;2016-2017;65;13;J21;
Top 14;2016-2017;24;20;J21;
Top 14;2016-2017;36;17;J21;
Top 14;2016-2017;42;26;J21;
Top 14;2016-2017;23;23;J21;
Top 14;2016-2017;33;10;J21;
Top 14;2016-2017;54;3;J21;
Top 14;2016-2017;27;24;J22;
Top 14;2016-2017;21;20;J22;
Top 14;2016-2017;52;7;J22;
Top 14;2016-2017;13;23;J22;
Top 14;2016-2017;20;11;J22;
Top 14;2016-2017;28;25;J22;
Top 14;2016-2017;17;11;J22;
Top 14;2016-2017;16;5;J23;
Top 14;2016-2017;16;17;J23;
Top 14;2016-2017;16;32;J23;
Top 14;2016-2017;54;14;J23;
Top 14;2016-2017;21;26;J23;
Top 14;2016-2017;34;32;J23;
Top 14;2016-2017;33;23;J23;
Top 14;2016-2017;23;14;J24;
Top 14;2016-2017;19;22;J24;
Top 14;2016-2017;18;59;J24;
Top 14;2016-2017;51;16;J24;
Top 14;2016-2017;29;25;J24;
Top 14;2016-2017;61;22;J24;
Top 14;2016-2017;8;10;J24;
